Timestamp,What school are you from?,Age,Do you bring a reusable water bottle to school?,Are you aware of the importance of reusable materials?,Main reason why don't you bring a water bottle to school?,"If you had chosen 'others' in the previous question, please explain why. A few words is enough! "
2023/09/16 10:17:20 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/16 10:17:47 PM GMT+8,ENG,18,No,No,It's inconvenient to bring to school,
2023/09/16 10:19:24 PM GMT+8,IIT,18,No,Yes,I'm too lazy to wash the bottle,
2023/09/16 10:20:23 PM GMT+8,BUS,18,No,Yes,It's inconvenient to bring to school,
2023/09/16 10:23:28 PM GMT+8,IIT,18,No,Yes,It's inconvenient to bring to school,Laze bring bottle
2023/09/16 10:31:15 PM GMT+8,IIT,17,No,Yes,I have concerns for the sanitary conditions of the bottle,
2023/09/16 10:31:51 PM GMT+8,ASC,17,Yes,Yes,,
2023/09/16 10:33:26 PM GMT+8,DES,19,No,No,It's inconvenient to bring to school,
2023/09/16 10:33:30 PM GMT+8,IIT,17,No,No,I never considered it,
2023/09/16 10:33:38 PM GMT+8,ENG,19,Yes,Yes,,
2023/09/16 10:36:28 PM GMT+8,ASC,18,No,Yes,It's inconvenient to bring to school,
2023/09/16 10:41:42 PM GMT+8,IIT,18,Yes,Yes,,
2023/09/16 10:42:46 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/16 10:43:31 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/16 11:12:08 PM GMT+8,IIT,18,Yes,Yes,,
2023/09/16 11:14:28 PM GMT+8,ASC,20,Yes,Yes,,
2023/09/16 11:17:53 PM GMT+8,ASC,19,Yes,Yes,,
2023/09/16 11:49:21 PM GMT+8,IIT,17,Yes,Yes,,
2023/09/17 12:34:57 AM GMT+8,IIT,18,No,Yes,It's inconvenient to bring to school,
2023/09/17 1:57:54 AM GMT+8,HSS,21,No,Yes,I never considered it,
2023/09/17 9:01:30 AM GMT+8,DES,19,Yes,Yes,,
2023/09/17 9:01:52 AM GMT+8,ASC,17,No,No,It's inconvenient to bring to school,
2023/09/17 9:02:10 AM GMT+8,ASC,18,No,No,I often forget it at home,
2023/09/17 9:02:22 AM GMT+8,ASC,17,Yes,Yes,,
2023/09/17 9:02:46 AM GMT+8,ASC,18,No,No,It's inconvenient to bring to school,
2023/09/17 9:03:12 AM GMT+8,ASC,19,No,No,I often forget it at home,
2023/09/17 10:20:23 AM GMT+8,IIT,18,Yes,Yes,,
2023/09/17 11:00:06 AM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 11:02:07 AM GMT+8,IIT,18,Yes,Yes,,
2023/09/17 1:14:41 PM GMT+8,ENG,18,Yes,Yes,,
2023/09/17 8:31:00 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:31:11 PM GMT+8,ASC,19,Yes,Yes,,
2023/09/17 8:31:24 PM GMT+8,DES,17,Yes,Yes,,
2023/09/17 8:31:35 PM GMT+8,ENG,20,Yes,Yes,,
2023/09/17 8:31:46 PM GMT+8,BUS,19,Yes,Yes,,
2023/09/17 8:31:56 PM GMT+8,BUS,17,Yes,Yes,,
2023/09/17 8:32:06 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:32:15 PM GMT+8,ASC,19,Yes,Yes,,
2023/09/17 8:32:26 PM GMT+8,ASC,17,Yes,Yes,,
2023/09/17 8:32:35 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:32:45 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:32:53 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:33:02 PM GMT+8,ASC,19,Yes,Yes,,
2023/09/17 8:33:10 PM GMT+8,ASC,19,Yes,Yes,,
2023/09/17 8:33:19 PM GMT+8,ASC,19,Yes,Yes,,
2023/09/17 8:33:34 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:34:26 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:34:35 PM GMT+8,ASC,20,Yes,Yes,,
2023/09/17 8:34:44 PM GMT+8,ASC,17,Yes,Yes,,
2023/09/17 8:34:54 PM GMT+8,ASC,20,Yes,Yes,,
2023/09/17 8:35:03 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:35:11 PM GMT+8,ASC,18,Yes,Yes,,
2023/09/17 8:35:22 PM GMT+8,HSS,17,Yes,Yes,,
2023/09/17 8:35:46 PM GMT+8,DES,20,No,Yes,I prefer bottled sweet drinks,
2023/09/18 3:27:50 PM GMT+8,ASC,19,Yes,Yes,,
2023/09/18 3:28:14 PM GMT+8,ASC,17,No,Yes,It's inconvenient to bring to school,
2023/09/18 3:28:28 PM GMT+8,ASC,18,No,Yes,It's inconvenient to bring to school,
2023/09/18 3:28:44 PM GMT+8,ASC,19,No,Yes,I often forget it at home,
2023/09/18 3:29:03 PM GMT+8,ASC,18,No,Yes,It's inconvenient to bring to school,
2023/09/18 3:29:56 PM GMT+8,ENG,18,No,Yes,I often forget it at home,
2023/09/18 3:30:15 PM GMT+8,ASC,19,No,Yes,I often forget it at home,
2023/09/18 3:30:31 PM GMT+8,ENG,18,No,Yes,I often forget it at home,
2023/09/18 3:30:47 PM GMT+8,ASC,20,No,Yes,I often forget it at home,
2023/09/18 3:31:01 PM GMT+8,ASC,18,No,Yes,I often forget it at home,
2023/09/18 3:31:18 PM GMT+8,BUS,21,No,Yes,I often forget it at home,
2023/09/18 3:31:43 PM GMT+8,ASC,19,No,Yes,I often forget it at home,
2023/09/18 3:32:18 PM GMT+8,ASC,18,No,Yes,I often forget it at home,
2023/09/18 3:32:30 PM GMT+8,ASC,18,No,Yes,It's inconvenient to bring to school,
2023/09/18 3:32:51 PM GMT+8,ASC,18,No,Yes,It's inconvenient to bring to school,
2023/09/18 3:33:07 PM GMT+8,ASC,17,No,Yes,It's inconvenient to bring to school,
2023/09/18 3:33:21 PM GMT+8,ASC,19,No,Yes,I often forget it at home,
2023/09/18 3:34:11 PM GMT+8,ASC,18,No,Yes,It's inconvenient to bring to school,
